Colony,Date,Alive/Dead,ROI,Area,Mean,Min,Max,Total Area,Dead Area,% Live Tissue
,,Dead,16,3435,106.153,41,235,,,
,,Dead,17,23673,119.016,41,249,,,
,,Dead,18,3865,104.176,41,243,,,
,,Dead,19,12742,109.664,41,227,,,
,,Dead,20,17959,97.227,37,224,,,
,,Dead,21,1500,120.069,61,177,,,
,,Dead,22,3238,98.245,31,244,,,
,,Dead,23,15174,95.287,30,249,,,
,,Dead,24,3362,92.355,32,218,,,
,,Dead,25,3222,114.339,35,230,,,
,,Dead,26,3069,129.179,43,245,,,
,,Dead,27,883,129.631,50,238,,,
,,Dead,28,1261,127.618,37,209,,,
,,Dead,29,3552,105.74,36,234,,,
,,Dead,30,2516,140.151,43,229,,,
,,Dead,31,7325,111.995,48,217,,,
,,Dead,32,1971,119.457,43,193,,,
,,Dead,33,1064,116.331,65,178,,,
,,Dead,34,5858,144.952,57,239,,,
,,Dead,35,3440,119.338,60,214,,,
,,Dead,36,1098,151.284,59,231,,,
,,Dead,37,15874,110.138,45,244,,,
,,Dead,38,13403,101.014,45,210,,,
,,Dead,39,230,136.93,69,212,,,
,,Dead,40,1639,57.071,36,88,,,
203,2016-09-20,Alive,1,2095904,95.08,8,255,2058524,221602,0.892349081
,,No count,2,4576,176.722,41,255,,,
,,Dead,3,31844,112.153,31,243,,,
,,Dead,4,3543,122.928,42,239,,,
,,Dead,5,516,96.998,50,167,,,
,,Dead,6,1960,102.139,36,208,,,
,,Dead,7,1189,79.093,36,191,,,
,,No count,8,24531,142.026,35,253,,,
,,Dead,9,2713,160.508,27,255,,,
,,Dead,10,5643,143.444,36,244,,,
,,Dead,11,950,148.716,43,250,,,
,,Dead,12,1362,180.373,63,253,,,
,,Dead,13,1154,159.016,25,252,,,
,,Dead,14,3752,94.75,23,237,,,
,,Dead,15,646,108.087,30,239,,,
,,Dead,16,1872,172.673,46,247,,,
,,Dead,17,1092,126.005,44,232,,,
,,Dead,18,2309,134.032,19,234,,,
,,Dead,19,30514,95.077,22,235,,,
,,Dead,20,3117,85.422,26,189,,,
,,Dead,21,1954,115.186,28,223,,,
,,Dead,22,789,162.626,81,225,,,
,,Dead,23,4918,78.426,25,188,,,
,,Dead,24,1399,114.414,35,233,,,
,,Dead,25,514,137.37,47,220,,,
,,Dead,26,5456,114.908,29,233,,,
,,Dead,27,936,144.84,47,226,,,
,,Dead,28,3132,92.58,29,227,,,
,,Dead,29,1213,122.755,21,241,,,
,,Dead,30,1542,126.939,32,241,,,
,,Dead,31,1474,77.486,23,197,,,
,,Dead,32,419,96.668,37,206,,,
,,Dead,33,399,64.396,21,205,,,
,,Dead,34,929,125.429,17,238,,,
,,Dead,35,1076,135.123,29,243,,,
,,Dead,36,3009,115.258,24,239,,,
,,Dead,37,987,89.213,27,233,,,
,,Dead,38,951,127.549,31,227,,,
,,Dead,39,5332,108.898,27,210,,,
,,Dead,40,379,96.507,38,237,,,
,,Dead,41,1069,94.169,19,225,,,
,,Dead,42,7594,108.995,27,236,,,
,,Dead,43,17288,68.189,18,215,,,
,,Dead,44,874,99.985,36,169,,,
,,Dead,45,5564,94.511,28,232,,,
,,Dead,46,9045,136.925,35,245,,,
,,No count,47,6157,113.379,33,225,,,
,,Dead,48,229,147.424,48,237,,,
,,Dead,49,790,130.306,44,236,,,
,,Dead,50,18440,69.888,23,223,,,
,,Dead,51,555,165.964,62,238,,,
,,Dead,52,1030,149.072,49,241,,,
,,Dead,53,2866,157.885,47,241,,,
,,Dead,54,2023,161.221,39,251,,,
,,No count,55,895,110.573,32,197,,,
,,No count,56,1221,118.269,39,240,,,
,,Dead,57,2568,100.565,38,222,,,
,,Dead,58,1166,152.902,36,226,,,
,,Dead,59,1114,108.636,37,216,,,
,,Dead,60,991,102.31,30,238,,,
,,Dead,61,1853,113.664,8,241,,,
,,Dead,62,933,78.161,15,242,,,
,,Dead,63,1075,94.786,27,242,,,
,,Dead,64,485,75.765,25,172,,,
,,Dead,65,355,171.152,82,240,,,
,,Dead,66,345,122.464,37,244,,,
,,Dead,67,344,171.596,53,243,,,
,,Dead,68,6031,85.202,19,236,,,
,,Dead,69,981,98.437,46,229,,,
,,Dead,70,5010,81.957,35,222,,,
203,2017-06-08,Alive,1,1838587,125.603,9,255,1727227,27546,0.984051894
,,No count,2,769,147.793,84,228,,,
,,No count,3,110591,175.426,59,255,,,
,,Dead,4,12133,116.348,35,200,,,
,,Dead,5,4522,151.827,79,238,,,
,,Dead,6,1728,133.271,89,220,,,
,,Dead,7,517,147.94,83,213,,,
,,Dead,8,2893,143.102,70,246,,,
,,Dead,9,330,114.691,80,152,,,
,,Dead,10,552,141.991,89,202,,,
,,Dead,11,380,124.016,79,182,,,
,,Dead,12,4491,129.986,52,228,,,
203,2017-11-08,Alive,1,2461457,102.588,1,255,2221734,69668,0.968642511
,,No count,2,7295,156.568,16,255,,,
,,No count,3,1675,79.473,7,235,,,
,,No count,4,230753,125.253,4,254,,,
,,Dead,5,6372,138.919,52,223,,,
,,Dead,6,10248,123.443,35,229,,,
,,Dead,7,2645,145.634,47,223,,,
,,Dead,8,3457,121.829,45,229,,,
,,Dead,9,2504,80.652,38,216,,,
,,Dead,10,1977,81.065,38,192,,,
,,Dead,11,600,109.907,55,208,,,
,,Dead,12,20045,88.899,23,216,,,
,,Dead,13,4949,114.989,43,226,,,
,,Dead,14,4475,86.892,35,171,,,
,,Dead,15,12396,92.778,30,195,,,
203,2019-06-20,Alive,1,1917914,75.598,0,255,1898283,124657,0.934331709
,,No count,2,2083,115.423,0,249,,,
,,No count,3,7253,55.025,3,251,,,
,,No count,4,4406,42.914,0,248,,,
,,No count,5,3446,47.193,1,233,,,
,,No count,6,2443,44.46,1,254,,,
,,Dead,7,1169,33.6,7,74,,,
,,Dead,8,2732,69.72,19,152,,,
,,Dead,9,38422,70.588,6,222,,,
,,Dead,10,5077,55.636,2,175,,,
,,Dead,11,1503,62.049,26,179,,,
,,Dead,12,2009,89.922,29,192,,,
,,Dead,13,70207,49.605,0,251,,,
